epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21128,2.85019,5.73584,4.40653,0,0,0,0,3.31763,5.96843,4.05316,0.1,0,0
2,3.72126,2.53065,5.39615,4.16975,0,0,0,0,3.22884,5.9538,3.95221,0.099009,9.01e-06,9.01e-06
3,5.259,2.54194,5.43644,4.17362,0,0,0,0,3.18046,5.95857,3.86038,0.098016,1.604e-05,1.604e-05
4,6.64865,2.51262,5.17097,4.03256,0,0,0,0,3.14994,5.96734,3.78846,0.0970211,2.109e-05,2.109e-05
5,8.15301,2.60953,5.11479,3.98023,0,0,0,0,3.12944,5.99008,3.7272,0.0960242,2.416e-05,2.416e-05
6,9.59913,2.86547,5.09204,3.88129,0,0,0,0,3.11236,6.00686,3.67196,0.0950253,2.525e-05,2.525e-05
7,11.0789,2.69633,4.78726,3.76983,0,0,0,0,3.11535,6.02834,3.61793,0.0940244,2.436e-05,2.436e-05
8,12.5479,2.39533,4.59399,3.62694,0,0,0,0,3.11767,6.04446,3.56666,0.0930215,2.149e-05,2.149e-05
9,14.0073,2.67893,4.5185,3.64151,0,0,0,0,3.10963,6.04884,3.51229,0.0920166,1.664e-05,1.664e-05
10,15.399,3.04112,4.44456,3.76995,0,0,0,0,3.1023,6.08694,3.47241,0.0910098,9.81e-06,9.81e-06
